"","file_name","cen_x","cen_y","zoom"
"350","../r03/Track 342",38.8636375,-94.6316681,15
"351","../r03/Track 343",38.8636834,-94.62854535,15
"352","../r03/Track 344",38.8636633,-94.6272384,15
"353","../r03/Track 345",38.86052935,-94.6271613,16
"354","../r03/Track 346",38.86058615,-94.6285319,16
"355","../r03/Track 347",38.86379735,-94.62253535,15
"356","../r03/Track 348",38.8605865,-94.62717755,16
"357","../r03/Track 349",38.86358015,-94.63167505,15
"358","../r03/Track 350",38.86057715,-94.62851795,16
"359","../r03/Track 351",38.860564,-94.62723145,16
"360","../r03/Track 352",38.9272926,-94.62351005,16
"361","../r03/Track 353",38.86063625,-94.62852495,16
"362","../r03/Track 354",39.0381971,-94.5830541,14
"363","../r03/Track 355",38.8606194,-94.62857045,16
"364","../r03/Track 356",38.8637493,-94.6396606,15
"365","../r03/Track 357",38.86628445,-94.62256315,15
"366","../r03/Track 358",38.86063925,-94.6285413,16
"367","../r03/Track 359",38.8606504,-94.62718035,16
"368","../r03/Track 360",39.00458655,-94.5300551,15
"369","../r03/Track 361",38.8605684,-94.62843,16
"370","../r03/Track 362",38.860646,-94.62846175,16
"371","../r03/Track 363",38.86966865,-94.63976645,14
"372","../r03/Track 364",38.86055,-94.6272013,16
"373","../r03/Track 365",38.8637265,-94.62847385,15
"374","../r03/Track 366",38.88734095,-94.768742,15
"375","../r03/Track 367",38.8605743,-94.6271443,16
"376","../r03/Track 368",38.8617195,-94.6316929,16
"377","../r03/Track 369",38.8697556,-94.6397034,14
"378","../r03/Track 370",38.86051685,-94.6285572,16
"379","../r03/Track 371",38.860529,-94.62714165,16
"380","../r03/Track 372",38.86377515,-94.63976035,15
"381","../r03/Track 373",38.86059445,-94.6285737,16
"382","../r03/Track 374",38.8605611,-94.6285435,16
"383","../r03/Track 375",38.86056815,-94.62851125,16
"384","../r03/Track 376",39.11578855,-94.54474645,14
"385","../r03/Track 377",38.86359955,-94.6316284,15
"386","../r03/Track 378",38.86373975,-94.6397083,15
"387","../r03/Track 379",38.8697148,-94.6397119,14
"388","../r03/Track 380",38.860594,-94.62713615,16
"389","../r03/Track 381",38.86056235,-94.62856155,16
"390","../r03/Track 382",38.86965265,-94.6397905,14
"391","../r03/Track 383",38.86056615,-94.62715895,16
"392","../r03/Track 384",38.8696317,-94.63972505,14
"393","../r03/Track 385",38.86361955,-94.6317079,15
"394","../r03/Track 386",38.92059785,-94.65554635,16
"395","../r03/Track 387",38.8605547,-94.628632,16
"396","../r03/Track 388",38.85327415,-94.6317648,15
"397","../r03/Track 389",38.86061355,-94.62710725,16
"398","../r03/Track 390",38.86049885,-94.6271814,16
"399","../r03/Track 391",38.86057285,-94.62858265,16
"400","../r03/Track 392",38.86059405,-94.6285518,16
"401","../r03/Track 393",38.86058165,-94.6271525,16
"402","../r03/Track 394",38.8605945,-94.62852595,16
"403","../r03/Track 395",38.86057905,-94.6271786,16
