"","ilog","rname","rtype","day","cdst","tim","lat","lon","zoom","ext","nt"
"a20121110","216","nobrake2","Mission","20121110","2517","1003","38.85905175","-94.631739","15","34.6","no notes"
"a20121112","217","r151","Mission","20121112","1271","489","38.8567605","-94.6317679","16","34.8","no notes"
"a20121114","218","r151","Mission","20121114","1234","460","38.8567955","-94.63181525","16","33.8","no notes"
"a20121117","219","big","Mission","20121117","4744","2103","38.8608338","-94.6271685","15","37.1","no notes"
"a20121119","220","steeple1","Mission","20121119","5198","2302","38.8638227","-94.6285343","14","36.8","no notes"
"a20121122","221","Sprint5K","Timed5K","20121122","5169","2231","38.9195252","-94.6567388","14","35.9","no notes"
"a20121124","222","r143","Mission","20121124","2838","1179","38.8636536","-94.63163945","14","35.8","no notes"
"a20121128","223","medium","Mission","20121128","3775","1641","38.8608303","-94.62716045","15","36.8","no notes"
"a20121130","224","r143","Mission","20121130","2821","1173","38.8636947","-94.6316668","14","35.9","no notes"
"a20121202","225","church","Mission","20121202","6544","2877","38.8687311","-94.6397145","13","36","no notes"
"a20121204","226","short","Mission","20121204","3514","1539","38.8608247","-94.6285178","15","37.3","no notes"
"a20121206","227","medium","Mission","20121206","3949","1677","38.86092295","-94.6272197","15","35.9","no notes"
"a20121208","228","steeple2","Mission","20121208","5378","2412","38.8637974","-94.62717395","14","37.2","no notes"
"a20121211","229","flat","Mission","20121211","1766","709","38.857957","-94.6317531","15","35.6","no notes"
"a20121213","230","r151","Mission","20121213","1288","478","38.8567662","-94.63161395","16","33.5","no notes"
"a20121215","231","nobrake2","Mission","20121215","2285","1024","38.85907295","-94.63178515","15","39.1","no notes"
"a20121217","232","r143","Mission","20121217","2806","1261","38.86370855","-94.63173245","14","38.8","no notes"
"a20121219","233","nobrake2","Mission","20121219","2317","927","38.8589535","-94.6316907","15","34.9","no notes"
"a20121222","234","flat","Mission","20121222","1754","789","38.8578736","-94.6317816","15","39.9","no notes"
"a20121224","235","r150","Mission","20121224","7637","3637","38.8677881","-94.6397229","13","38.7","no notes"
"a20121227","236","r151","Mission","20121227","1241","526","38.85678135","-94.6317662","16","38.4","no notes"
"a20121229","237","r143","Mission","20121229","2755","1209","38.8636151","-94.63162995","14","37.9","no notes"
"a20121231","238","flat","Mission","20121231","1749","710","38.85790785","-94.63173655","15","36","no notes"
"a20130107","239","nobrake2","Mission","20130107","2200","924","38.8590917","-94.6317526","15","36.8","no notes"
"a20130110","240","medium","Mission","20130110","3944","1681","38.8608814","-94.62719575","15","36","no notes"
